Expectativa de Vida,Educacao,PIB,Estabilidade Politica,Pais
0.88,0.99,0.91,1.10,Reino Unido
0.90,0.99,0.93,1.26,Australia
0.90,0.98,0.94,1.24,Canada
0.87,0.98,0.97,1.18,Estados Unidos
0.93,0.93,0.93,1.20,Japao
0.89,0.97,0.92,01.04,Franca
0.88,0.87,0.91,1.41,Cingapura
0.81,0.92,0.80,0.55,Argentina
0.82,0.92,0.75,01.05,Uruguai
0.85,0.90,0.64,0.7,Cuba
0.77,0.85,0.69,-1.36,Colombia
0.71,0.83,0.72,0.47,Brasil
0.75,0.83,0.63,-0.87,Paraguai
0.70,0.62,0.60,0.21,Egito
0.44,0.58,0.37,-1.36,Nigeria
0.47,0.37,0.45,-0.68,Senegal
0.23,0.33,0.27,-1.26,Serra Leoa
0.34,0.36,0.51,-1.98,Angola
0.31,0.35,0.32,-0.55,Etiopia
0.24,0.37,0.36,0.20,Mocambique
0.76,0.80,0.61,0.39,China